title,company,description,location,requirements,technologies,salary,modality,languages,contract_type,error,link
Developer en Node.js+Nest.js+PosgreSQL+MongoDB)/Remoto,SANDAV,"Desde Sandav nos encontramos en la búsqueda de dos perfiles con experiencia en backend con el stack tecnologico(Nest.js, Node.js,PosgreSQL y MongoDB) para una importante empresa del sector IT.",Madrid,"Experiencia mínima: Al menos 3 años. Conocimientos necesarios: MongoDB, node.js, nest.js, posgreSQL.","Node.js, Nest.js, PosgreSQL, MongoDB",32500,remoto,,indefinido,False,https://www.infojobs.net/madrid/developer-node.js-nest.js-posgresql-mongodb-remoto/of-if58f5512e249569c09c493f63ffdf9?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Fullstack Developer,NTT DATA ofertas de empleo profesionales,"¿Buscas nuevos retos profesionales? En NTT DATA estamos en continuo crecimiento y en la búsqueda de talentos como el tuyo. En nuestra oficina de Salamanca y nuestros hub de León o en Extremadura con Cáceres y Badajoz, seguimos ampliando nuestros equipos buscamos desarrolladores fullstack con más de 2 años de experiencia. Estamos deseando encontrarte y tenerte con nosotros. Y tú, ¿quieres encontrar tu sitio en NTT DATA? ¡Conoce más detalles e inscríbete en nuestro anuncio! ¿Qué buscamos en ti? ¡Ganas de continuar desarrollándote profesionalmente y una pasión inquebrantable por la tecnología!",León,2 años de experiencia mínima en desarrollo fullstack. Imprescindible residente en Provincia Puesto Vacante.,"Java, Spring, Spring Framework, .NET, angular, Vue, Desarrollo de software, developer, fullstack",,Solo teletrabajo,,"Contrato indefinido, jornada completa",False,https://www.infojobs.net/leon/fullstack-developer/of-i2d2a889ea24a5a8c61333ff0cf6c88?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Ingeniero/a de software,CTUE PRO MERITUM SL.,"¡Impulsa tu carrera y únete a la revolución tecnológica! Estamos en busca de 10 ingenieros e ingenieras recién titulados para incorporarse a proyectos de vanguardia en áreas como datos, arquitectura, seguridad y calidad. Si quieres desarrollar todo tu potencial en un entorno innovador y dinámico, esta es tu oportunidad.",Madrid,"Grado o máster en Ingeniería Informática, Ingeniería de Software, Telecomunicaciones, Big Data, Data Analytics, Matemáticas, Física u otros estudios afines. Conocimientos en lenguajes de programación y metodologías ágiles. Finalización de estudios del Grado o Máster entre septiembre de 2023 y junio de 2025. Residencia en Madrid, Barcelona o Sevilla, o disponibilidad para movilidad a nivel nacional. Nivel de inglés B2 o superior.","Desarrollo front-end, Backend, Full-stack, Aplicación web, Desarrollo de software",23000,Híbrido,Inglés - Avanzado,"Contrato formativo, jornada completa",False,https://www.infojobs.net/madrid/ingeniero-software/of-i64a87a0eb948dd8bc2f4858b574610?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Ingeniero/a de software,Innerspec Technologies Europe,"Innerspec Technologies, empresa multinacional con oficinas principales en Estados Unidos y España, es líder mundial en sistemas automáticos de inspección por ultrasonidos y otras tecnologías de ensayos no destructivos. Seleccionamos para nuestra oficina europea situada en Madrid, un ingeniero de software / programador, para formar parte de nuestro equipo internacional. Funciones y responsabilidades: · Trabajar con nuestro equipo internacional desarrollando software para adquisición en tiempo real de sistemas de inspección automatizados y portátiles. · Solucionar problemas y añadir funcionalidades en software instalado en clientes. · Participar en diversos proyectos innovadores en el entorno industria 4.0. · Participar en el desarrollo de nuestro negocio como parte de un equipo joven y ambicioso.",Madrid,"Se requiere experiencia en desarrollo de software de al menos 1 año en: Programación en C++, Qt core Framework, Aplicaciones Multithreading. Se valorará la experiencia en: Programación en NodeJS, Programación en C#, Procesado de señales y/o imágenes, Adquisición de datos en tiempo real. Formación en ingeniería. Nivel medio-alto de inglés, escrito y hablado. Dispuesto a desarrollarse en una empresa de vanguardia, en un entorno internacional dinámico. Técnico, responsable, altamente motivado, con iniciativa, espíritu emprendedor, proactividad y afán de aprender. Interés en desarrollarse en una empresa de alta tecnología, en un entorno internacional dinámico.","C++, Qt core Framework, NodeJS, C#",,Presencial,Inglés,Indefinido,False,https://www.infojobs.net/madrid/ingeniero-software/of-ic6de20ef534d53bbee748c0aef5b18?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
INGENIERO/A DE SOFTWARE,CASER GRUPO ASEGURADOR - Corporativas,"Caser Seguros busca un/a Ingeniero/a de Software para incorporarse en la Dirección de Sistemas Comunes. La persona que buscamos aportará amplia experiencia en Desarrollo con: - Sólida experiencia en desarrollo Java.- Desarrollo de microservicios.- Conocimientos en API Manager WS2O- Conocimientos con especificación Open API y Swagger.- Conocimientos en metodologías ágiles, como Scrum.- Control en el uso de herramientas de control de versiones, Git, GitFlow. Entre sus funciones: - Seleccionar tecnologías, herramientas y lenguajes adecuados para cada solución. - Desarrollo de soluciones.- Diseño de soluciones técnicas.- Dirección técnica de proyectos.- Resolución problemas.",Madrid,"Grado superior en Informática o equivalente. Valorable inglés B2. Experiencia: Sólida experiencia en desarrollo Java, desarrollo de microservicios, conocimientos en API Manager WS2O, conocimientos con especificación Open API y Swagger, conocimientos en metodologías ágiles como Scrum, control en el uso de herramientas de control de versiones, Git, GitFlow, capacidad para trabajar en equipo y comunicarse de manera efectiva. Imprescindible nivel B2 de Inglés.","Java, microservicios, API Manager WS2O, Open API, Swagger, Scrum, Git, GitFlow",,Híbrido,Inglés - Avanzado,"Contrato indefinido, jornada completa",False,https://www.infojobs.net/madrid/ingeniero-software/of-i4e35ef2d304972babd72aac690cea6?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Ingeniero Full Stack 100% Remoto (H/M/X),Experis IT,"Quieres seguir creciendo en tu carrera profesional? Ingeniero Full Stack (Python / JavaScript) Sólida experiencia en backend (Python: FastAPI, Celery) y conocimientos en frontend. Idealmente, con experiencia en microservicios y en la integración de soluciones conversacionales con Microsoft Teams, Bot Framework e IA. Formarás parte de un equipo multidisciplinar centrado en automatización de procesos, asistentes virtuales e interfaces digitales.",Madrid,"Experiencia en backend con Python, Java o Node.js. Conocimientos en microservicios y diseño de software. Dominio de JavaScript y React. Integración de APIs RESTful. Experiencia con bots en Bot Framework (Node.js o Python) y Microsoft Copilot. Control de versiones (Git), CI/CD. Proyectos con LLM y arquitectura RAG (embeddings, vectores, Tool Use o MCP). Conocimientos de ML y NLP (TensorFlow, PyTorch, spaCy, NLTK, Hugging Face). Se valorará Experiencia con BBDD SQL y NoSQL (Oracle, PostgreSQL, Elastic, MongoDB). Conocimientos en OAuth2, JWT. Uso de Docker, Kubernetes, IKS. Testing automatizado (Pytest, Jest). Proyectos de automatización, asistentes virtuales e integraciones. IA en Azure o Google Cloud. Uso de Copilot Studio y PowerAutomate.","JavaScript, SQL, Arquitectura, Integración, Python, node.js, NoSQL, Git, MongoDB, Automatización de procesos",,Solo teletrabajo,,"Contrato indefinido, jornada completa",False,https://www.infojobs.net/madrid/ingeniero-full-stack-100-remoto-h-m-x/of-i3b17c2506a4ad3a4224b8ac4ddfd51?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Programador/a Full Stack,Intechpartner,"Únete a nuestro equipo en Intechpartner y sé parte de una revolución tecnológica creando soluciones a medida que impactan a grandes clientes. Trabajamos en proyectos innovadores que combinan Inteligencia Artificial, avanzadas plataformas de gestión de datos (PIM) y tecnologías de vanguardia, procesando y gestionando millones de datos para transformar la manera en que las empresas operan. Buscamos talentos apasionados por la tecnología, con ganas de aprender, superar nuevos desafíos y marcar la diferencia en el futuro de la innovación.",Las Palmas De Gran Canaria,"Estudios mínimos: Ciclo Formativo Grado Superior. Experiencia mínima: Al menos 1 año. Habilidades clave: responsabilidad, organización, proactividad, capacidad para trabajar en equipo y excelentes habilidades de comunicación. Pasión por la programación y compromiso con escribir código limpio, reutilizable y escalable.","Full-stack, VueJs, Symfony, Redis, ElasticSearch, MQ, AWS",,Híbrido,,"Contrato indefinido, jornada completa",False,https://www.infojobs.net/las-palmas-de-gran-canaria/programador-full-stack/of-i0861fe718042fd9cf09f164f2610e8?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Desarrollador Full-Stack TypeScript/Vue/Node,PAYTEF Sistemas,"¡Únete a nuestro equipo! Estamos en la búsqueda de un desarrollador TypeScript full-stack apasionado y con experiencia. Tu rol será crucial en el mantenimiento y la implementación de nuevas funcionalidades tanto en el frontend como en el backend de nuestra pasarela de pagos, contribuyendo directamente a su evolución y eficiencia. Se requiere un perfil con conocimientos avanzados de Vue.js para el diseño y desarrollo de aplicaciones web responsivas y escalables. La experiencia en la creación de servicios backend robustos con AWS/Firebase, junto con una sólida comprensión de la interacción con bases de datos no relacionales (principalmente Firestore y DynamoDB), será clave. Todo esto, implementando consistentemente las buenas prácticas de desarrollo.","Pozuelo De Alarcón, Madrid","Dominio avanzado de TypeScript y nodejs. Amplia experiencia en el desarrollo de webs responsivas con Vue.js (v2 y v3), principalmente con Vuetify. Capacidad para diseñar y construir servicios de backend con nodejs (Cloud Functions y Lambda). Experiencia en proyectos de Firebase (principalmente Cloud Functions, Firestore). Experiencia con AWS (Lambda y DynamoDB). Experiencia demostrable en la interacción y gestión de bases de datos no relacionales (Firestore / DynamoDB).","TypeScript, Node.js, Vue.js, Vuetify, Firebase, AWS, Firestore, DynamoDB",40000,Solo teletrabajo,Inglés - Avanzado,"Contrato indefinido, jornada completa",False,https://www.infojobs.net/pozuelo-de-alarcon/desarrollador-full-stack-typescript-vue-node/of-i470a6eb8ef4c2d9219fb466b1557d8?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Programador/a Full Stack,SABACOINSA S.L.,"Buscamos un/a talentoso/a Programador/a Full Stack para unirse a nuestro equipo de desarrollo en Sabacoinsa (PHUC). Como miembro de nuestro equipo, serás responsable de diseñar, implementar y mantener aplicaciones web (sistemas Backend/Frontend) de alta calidad así cómo el software principal que está desarrollado en VB6. En este rol, tus responsabilidades incluirán: Programación de BackEnd: Desarrollar y mantener sistemas Backend robustos y escalables utilizando tecnologías modernas (C#, SQL SERVER). Programación de FrontEnd: Desarrollar y mantener sistemas Frontend robustos y escalables utilizando tecnologías modernas (C#, Bootstrap, css, javascript). Programación entorno escritorio: Nuestro software principal está desarrollado en Visual Basic 6, se valorará el conocimiento de este entorno. Automatización de pruebas: Implementar estrategias de pruebas automatizadas para garantizar la calidad del código y la integridad de la aplicación. CI/CD: Colaborar en la implementación de flujos de trabajo de integración y despliegue continuos para mejorar la eficiencia del proceso de desarrollo. Definición de metodología de desarrollo: Participar en la definición y mejora de los procesos de desarrollo de software utilizados por el equipo. Desarrollo de software: Participar activamente en el ciclo de vida completo del desarrollo de software, desde el diseño hasta la implementación y el mantenimiento. Redacción de manuales: Mantener la documentación de la empresa al día y preparar manuales de los nuevos procedimientos. Mantenimiento de servidores: Mantener los servidores CLOUD que ponemos a disposición de nuestros clientes.",Barberà Del Vallès,"Sólidos conocimientos en programación Full-stack, con experiencia en el desarrollo de aplicaciones web y sistemas backend usando las tecnologías ya mencionadas. Conocimientos en programación Visual Basic 6, con experiencia en el desarrollo de aplicaciones en entorno de escritorio. Experiencia en Control de Calidad, tanto con el uso de herramientas automatizadas de pruebas de software cómo pruebas manuales. Capacidad para diseñar y desarrollar RESTful APIs que permitan la integración entre sistemas. Habilidad para definir y mejorar metodologías de desarrollo de software en un entorno ágil. Excelentes habilidades de comunicación y trabajo en equipo.","Full-stack, C#, SQL Server, Bootstrap, CSS, JavaScript, VB6",30500,Presencial,"Catalán - Nativo o Bilingüe, Inglés - Avanzado, Español - Nativo o Bilingüe",Indefinido,False,https://www.infojobs.net/barbera-del-valles/programador-full-stack/of-ife6f65d5704f19b7c31f1aa2be8524?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Desarrollador/a Full Stack,Optimissa - Banca y seguros,"En OPTIMISSA tenemos claro que el éxito de nuestros proyectos se debe a las personas que forman nuestro equipo. Por eso, si tienes al menos 4 años de experiencia como Full Stack Developer, nos comprometemos a impulsar tu talento, satisfacer tus expectativas laborales y hacerte sentir como en casa. ¿Quieres construir hoy el mundo de mañana? ¡Sigue leyendo! El candidato ideal tendrá: - Al menos 4 años de experiencia.- Experiencia avanzada con Spring Boot y Node.js- Experiencia con Angular.- Conocimiento sólido de diseño de API RESTful.- Experiencia con PostgreSQL y SQL.- Familiaridad con arquitecturas basadas en microservicios desplegadas en AWS.",Madrid,- Al menos 4 años de experiencia.- Experiencia avanzada con Spring Boot y Node.js- Experiencia con Angular.- Conocimiento sólido de diseño de API RESTful.- Experiencia con PostgreSQL y SQL.- Familiaridad con arquitecturas basadas en microservicios desplegadas en AWS.,"API, node.js, SQL, Spring, PostgreSQL, spring boot, Java, microservicios",,Solo teletrabajo,"Español - Nativo o Bilingüe, Inglés - Intermedio","Contrato indefinido, jornada completa",False,https://www.infojobs.net/madrid/desarrollador-full-stack/of-i1ecfed0ea14831943970b36278b13b?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
