title;company;description;location;requirements;technologies;salary;modality;languages;contract_type;error;link
Desarrollador/a ABAP Fiori;Sopra Steria;Porque trabajar en Sopra Steria, también es sentir Sopra Steria. Somos un reconocido líder europeo en consultoría, servicios digitales y desarrollo de software, con cerca de 56.000 empleados en casi 30 países y más de 4.000 en España. Nos enfocamos en las personas, en su formación y desarrollo profesional, lo que nos impulsa a crecer y mejorar constantemente. Tenemos pasión por lo digital y al igual que tú, buscamos la mejor de las aventuras. Queremos que tu día a día se convierta en la mejor de tus inspiraciones. Que aprendas, aportes, te diviertas, crezcas y que, sobre todo, disfrutes al máximo. Si quieres formar parte de un equipo 'Great Place to Work', ¡Sigue leyendo!;Madrid;Experiencia de al menos 5 años en desarrollo ABAP con SAP R/3 ECC, con preferencia en los módulos PP, PM, SD., Experiencia de 2-3 años desarrollando aplicaciones con SAP FIORI., Buen nivel de inglés.;SAP ABAP, FIORI, SAP-PP Product Planning, SAP-PM Plant Maintenance, SAP-SD Sale & Distribution;;híbrido;inglés;indefinido;False;https://www.infojobs.net/madrid/desarrollador-abap-fiori/of-if54225a38147ac8bdb78df672805ea?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Beca Quality Assurance;Worldline Iberia;"We are the innovators at the heart of the payments technology industry, shaping how the world pays and gets paid. The solutions our people build today power the growth of millions of businesses tomorrow. From your local coffee shop to unicorns and international banks. From San Francisco to Auckland. We are in every corner of the world, in every part of commerce. And just as we help our customers accelerate their business, we are committed to helping our people accelerate their careers. Together, we shape the evolution. The Opportunity We have vacancies in various areas of expertise:· Native applications (iOS, Android, and cross-platform)· Full Stack (Back End, Front End)· UX and Design· Mobile-specialized QA and automation· E-Commerce applications· Mobile messaging Day-to-Day Responsibilities WHAT IS THE OBJECTIVE OF THE SCHOLARSHIP? The objective is to train the students in the technologies and methodologies commonly used by us so that, upon completion of the one-year scholarship, they can join as employees. Each student will be assigned a mentor who will be responsible for guiding them throughout the scholarship, serving as their reference throughout the learning process. Mentors are employees with many years of experience in the web application development sector. WHAT WILL I LEARN IN THIS SCHOLARSHIP? Each student will specialize in web application development, both on the front-end and back-end. Initially, there is a period in which you will need to study and assimilate specific information about the technology: programming environment, internal programming regulations, and methodology. Once this stage is completed, we move to a ""learn by doing"" approach where you will participate in specific tasks in the area, always under the supervision of your mentor.";Barcelona;Computer Engineering students in their final year of study, Active, curious, detail-oriented, and organized person, High level of English, Interest in development and maintenance of servers and databases, Participating in the front-end and back-end architecture of web applications, Generating code for front-end and back-end applications to connect databases and networks, Creating websites and applications from scratch;HTML, CSS, JavaScript, React, Angular, Vue.js, Java, Node.js, Git, Gitflow, SCRUM, REST, APIs, Jenkins, Sonar;8000;híbrido;inglés;Contrato formativo, jornada parcial - indiferente;False;https://www.infojobs.net/barcelona/beca-quality-assurance/of-i3cdd095f3e44919e7c036411aa8554?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Ingeniero/a de software;TOBACORP, SOCIEDAD LIMITADA.;Buscamos un/a Ingeniero/a de Software con un perfil técnico sólido y amplia experiencia en el desarrollo de aplicaciones de marketplace de alta calidad. El/la candidato/a ideal deberá tener un dominio de las siguientes habilidades: Desarrollo Full-Stack: Experiencia en el desarrollo de aplicaciones web utilizando tecnologías como JavaScript, React, Node.js y TypeScript. Programación de Sistemas: Conocimientos en arquitecturas de sistemas, patrones de diseño y principios de ingeniería de software. Automatización de Pruebas: Experiencia en la implementación de estrategias de Test-driven Development (TDD) y el uso de herramientas de pruebas de software, como Jest y Cypress. CI/CD: Conocimientos en la implementación de flujos de integración y despliegue continuos, utilizando herramientas como Jenkins o CircleCI. RESTful API: Experiencia en el diseño y desarrollo de APIs RESTful, incluyendo la definición de modelos de datos y esquemas de autenticación. Metodología de Desarrollo: Capacidad para participar en la definición y aplicación de metodologías de desarrollo ágiles, como Scrum o Kanban. Ofrecemos un entorno de trabajo colaborativo y desafiante, donde podrás contribuir al desarrollo de soluciones tecnológicas innovadoras. Además, contamos con un programa de formación continua y oportunidades de crecimiento profesional dentro de la organización.;Madrid;Ingeniería Superior, No Requerida;Full-stack, Programación de sistemas, Automatización de pruebas, Test-driven Development (TDD), CI/CD, Herramientas de pruebas de software, RESTful API, TypeScript;;;;indefinido;False;https://www.infojobs.net/madrid/ingeniero-software/of-i96b3ed445e47a88fc053b5c9778413?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Ingeniero/a de Software C++;ALTEN Transporte;Participa en innovadores proyectos de innovación tecnológica, aportando al equipo tu experiencia como Ingeniero/a de Software C++. En ALTEN tenemos claro que el éxito de nuestros proyectos se debe a las personas que forman nuestro equipo. Por eso, si tienes más de 2 años de experiencia trabajando en proyectos de alto nivel tecnológico, nos comprometemos a impulsar tu talento, satisfacer tus expectativas laborales y hacerte sentir como en casa. ¿Quieres construir hoy el mundo de mañana? ¡Sigue leyendo!;Madrid;Titulación en Ingeniería Informática, Telecomunicaciones o similar., Experiencia en desarrollo de software con C++., Conocimientos en buenas prácticas de diseño de software: SOLID, DRY, KISS., Experiencia con herramientas de control de versiones (Git, SVN, etc.)., Habilidades de documentación técnica., Capacidad de trabajo en equipo, iniciativa y orientación a resultados.;Java, Android, Programación, JavaScript, HTML, C++, Amazon Web Services;;híbrido;;indefinido;False;https://www.infojobs.net/madrid/ingeniero-software-c/of-i1ba7360e2b48a8bd0575d4de8afa33?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Ingeniero/a de desarrollo software en C/C++;EXCELTIC;¿Quieres formar parte de la experiencia Exceltic, una empresa con estrategia centrada en las personas? ¿Buscas formar parte de una gran variedad de proyectos punteros en una empresa de ingeniería en fuerte expansión? ¡Queremos conocerte! ¡Ésta es tu oportunidad! Estamos en búsqueda de un/a Ingeniero/a de desarrollo software en C/C++ con experiencia en desarrollo embebido, para formar parte de nuestro equipo en Madrid en modalidad híbrida (3 días presencial y posibilidad de 2 días de teletrabajo). ¿Cuál será tu misión? Desarrollar soluciones software robustas y eficientes en C/C++ para proyectos tecnológicos innovadores, especialmente en entornos de sistemas de recaudo. Vivir la experiencia Exceltic significa: -> Tener una posición estable con contrato indefinido. -> Participar en proyectos punteros donde puedas desarrollar tus habilidades. -> Acceder a un plan de carrera personalizado y formación continua. -> Disfrutar de un plan de retribución flexible (seguro médico, ticket transporte, restaurante y guardería). -> Equilibrar tu vida personal y profesional con horario flexible y modalidad híbrida desde España. -> Formar parte de un equipo en el que te sientas escuchado/a y donde puedas aportar nuevas ideas. -> Compartir el camino con un equipo de profesionales apasionados y comprometidos.;Madrid;Titulación en Ingeniería Informática o similar (se valoran perfiles de FP si aportan experiencia consolidada), 2-3 años de experiencia en desarrollo software en C/C++, Conocimientos en mensajería (API REST, MQTT, Web Services), Conocimiento en control de versiones (preferiblemente GIT), Conocimiento en herramientas de integración y despliegue continuo (Jenkins, Docker, Kubernetes...), Experiencia en testing (unitarios, integración...) con herramientas como Mockito, Google Test, Conocimiento de patrones de diseño y principios de Clean Code, Nivel de inglés medio (mínimo B2), Formación en PRL básico en construcción o disponibilidad para realizarlo, Disponibilidad para viajar a nivel nacional e internacional de forma esporádica;C++, Jenkins, Git, Web Services;;híbrido;inglés;indefinido;False;https://www.infojobs.net/madrid/ingeniero-desarrollo-software-c-c/of-icbf657cede4ef0b4b8dee6c53aa8d7?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Desarrollador/a ABAP Fiori;Sopra Steria;Porque trabajar en Sopra Steria, también es sentir Sopra Steria. Somos un reconocido líder europeo en consultoría, servicios digitales y desarrollo de software, con cerca de 56.000 empleados en casi 30 países y más de 4.000 en España. Nos enfocamos en las personas, en su formación y desarrollo profesional, lo que nos impulsa a crecer y mejorar constantemente. Tenemos pasión por lo digital y al igual que tú, buscamos la mejor de las aventuras. Queremos que tu día a día se convierta en la mejor de tus inspiraciones. Que aprendas, aportes, te diviertas, crezcas y que, sobre todo, disfrutes al máximo. Si quieres formar parte de un equipo 'Great Place to Work', ¡Sigue leyendo!;Madrid;Experiencia de al menos 5 años en desarrollo ABAP con SAP R/3 ECC, con preferencia en los módulos PP, PM, SD., Experiencia de 2-3 años desarrollando aplicaciones con SAP FIORI., Buen nivel de inglés.;SAP ABAP, FIORI, SAP-PP Product Planning, SAP-PM Plant Maintenance, SAP-SD Sale & Distribution;;híbrido;inglés;indefinido;False;https://www.infojobs.net/madrid/desarrollador-abap-fiori/of-if54225a38147ac8bdb78df672805ea?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Programador/a Full Stack;Internet Technology Partner;Únete a nuestro equipo en Intechpartner y sé parte de una revolución tecnológica creando soluciones a medida que impactan a grandes clientes. Trabajamos en proyectos innovadores que combinan Inteligencia Artificial, avanzadas plataformas de gestión de datos (PIM) y tecnologías de vanguardia, procesando y gestionando millones de datos para transformar la manera en que las empresas operan. Buscamos talentos apasionados por la tecnología, con ganas de aprender, superar nuevos desafíos y marcar la diferencia en el futuro de la innovación.;Las Palmas De Gran Canaria;Ciclo Formativo Grado Superior, Al menos 1 año de experiencia, Actitud positiva y confianza en tu talento, Responsabilidad, organización, proactividad, capacidad para trabajar en equipo y excelentes habilidades de comunicación, Pasión por la programación y compromiso con escribir código limpio, reutilizable y escalable;Full-stack, VueJs, Symfony, Redis, ElasticSearch, MQ, AWS;;híbrido;;indefinido;False;https://www.infojobs.net/las-palmas-de-gran-canaria/programador-full-stack/of-i0861fe718042fd9cf09f164f2610e8?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Desarrollador Full-Stack TypeScript/Vue/Node;PAYTEF Sistemas;¡Únete a nuestro equipo! Estamos en la búsqueda de un desarrollador TypeScript full-stack apasionado y con experiencia. Tu rol será crucial en el mantenimiento y la implementación de nuevas funcionalidades tanto en el frontend como en el backend de nuestra pasarela de pagos, contribuyendo directamente a su evolución y eficiencia. Se requiere un perfil con conocimientos avanzados de Vue.js para el diseño y desarrollo de aplicaciones web responsivas y escalables. La experiencia en la creación de servicios backend robustos con AWS/Firebase, junto con una sólida comprensión de la interacción con bases de datos no relacionales (principalmente Firestore y DynamoDB), será clave. Todo esto, implementando consistentemente las buenas prácticas de desarrollo.;Pozuelo De Alarcón, Madrid;Dominio avanzado de TypeScript y nodejs., Amplia experiencia en el desarrollo de webs responsivas con Vue.js (v2 y v3), principalmente con Vuetify., Capacidad para diseñar y construir servicios de backend con nodejs (Cloud Functions y Lambda)., Experiencia en proyectos de Firebase (principalmente Cloud Functions, Firestore)., Experiencia con AWS (Lambda y DynamoDB)., Experiencia demostrable en la interacción y gestión de bases de datos no relacionales (Firestore / DynamoDB).;TypeScript, Node.js, Vue.js, Vuetify, Firebase, AWS, Firestore, DynamoDB;40000;remoto;inglés;indefinido;False;https://www.infojobs.net/pozuelo-de-alarcon/desarrollador-full-stack-typescript-vue-node/of-i470a6eb8ef4c2d9219fb466b1557d8?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Programador/a Full Stack;SABACOINSA S.L.;Buscamos un/a talentoso/a Programador/a Full Stack para unirse a nuestro equipo de desarrollo en Sabacoinsa (PHUC). Como miembro de nuestro equipo, serás responsable de diseñar, implementar y mantener aplicaciones web (sistemas Backend/Frontend) de alta calidad así cómo el software principal que está desarrollado en VB6. En este rol, tus responsabilidades incluirán: Programación de BackEnd: Desarrollar y mantener sistemas Backend robustos y escalables utilizando tecnologías modernas (C#, SQL SERVER). Programación de FrontEnd: Desarrollar y mantener sistemas Frontend robustos y escalables utilizando tecnologías modernas (C#, Bootstrap, css, javascript). Programación entorno escritorio: Nuestro software principal está desarrollado en Visual Basic 6, se valorará el conocimiento de este entorno. Automatización de pruebas: Implementar estrategias de pruebas automatizadas para garantizar la calidad del código y la integridad de la aplicación. CI/CD: Colaborar en la implementación de flujos de trabajo de integración y despliegue continuos para mejorar la eficiencia del proceso de desarrollo. Definición de metodología de desarrollo: Participar en la definición y mejora de los procesos de desarrollo de software utilizados por el equipo. Desarrollo de software: Participar activamente en el ciclo de vida completo del desarrollo de software, desde el diseño hasta la implementación y el mantenimiento. Redacción de manuales: Mantener la documentación de la empresa al día y preparar manuales de los nuevos procedimientos. Mantenimiento de servidores: Mantener los servidores CLOUD que ponemos a disposición de nuestros clientes.;Barberà Del Vallès;Ciclo Formativo Grado Superior, Más de 5 años de experiencia, Sólidos conocimientos en programación Full-stack, Conocimientos en programación Visual Basic 6, Experiencia en Control de Calidad, Capacidad para diseñar y desarrollar RESTful APIs, Habilidad para definir y mejorar metodologías de desarrollo de software, Excelentes habilidades de comunicación y trabajo en equipo;Full-stack, Automatización de pruebas, RESTful API, C#, CSS, BOOTSTRAP, VB6, CQ, Documentación, SQL Server;30500;presencial;catalán, inglés, español;indefinido;False;https://www.infojobs.net/barbera-del-valles/programador-full-stack/of-ife6f65d5704f19b7c31f1aa2be8524?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Full Stack .NET Developer;Voiping US;En Voiping US seleccionamos Talento! Desde el Departamento de Talento & Recruitment de Voiping US, seleccionamos Full Stack .NET para incorporarse en el equipo de uno de nuestros clientes más importantes y reconocido dentro del sector IT. Responsabilidades:· Participar en un equipo multidisciplinar desarrollando aplicaciones full stack.· Diseñar, programar, desplegar y mantener aplicaciones bajo entorno DevOps.· Colaborar estrechamente con distintas áreas de negocio para recoger requisitos y proponer soluciones.· Participar en sesiones de planificación, refinamiento de funcionalidades y revisión de código (pull requests).· Diseñar soluciones técnicas junto a arquitectos de software, alineadas con la estrategia tecnológica de la compañía.· Impulsar buenas prácticas de desarrollo y participar activamente en comunidades técnicas internas.· Realizar pruebas automatizadas (TDD/BDD) para garantizar la calidad del software.;Madrid;Experiencia mínima de 4 años en desarrollo backend con .NET Core y Entity Framework., Conocimientos sólidos en RESTful APIs, bases de datos SQL (MSSQL, Oracle, Postgres) y arquitecturas orientadas a servicios., Experiencia en DevOps, CI/CD y despliegue en Kubernetes., Familiaridad con TDD, BDD y testing automatizado., Nivel alto de inglés (mínimo B2 alto).;.NET, Entity Framework, RESTful APIs, SQL, Oracle, CI/CD, DevOps, TDD, BDD, Testing;;híbrido;inglés;indefinido;False;https://www.infojobs.net/madrid/full-stack-.net-developer/of-i32933cd4e2497f817371342df1d8eb?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
